epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1359.89,0.66471,0.9553,1.27508,0.95756,0.9433,0.98686,0.89167,0.50336,0.32228,1.1735,0.00333272,0.00333272,0.00333272
2,2662.49,0.5793,0.53038,1.17504,0.98324,0.98015,0.9946,0.92106,0.438,0.23652,1.09129,0.00644607,0.00644607,0.00644607
3,3948.89,0.57015,0.5297,1.16424,0.99281,0.98096,0.99409,0.93572,0.39079,0.22753,1.03404,0.00933942,0.00933942,0.00933942
4,5231.92,0.5349,0.49356,1.13813,0.99701,0.99556,0.99497,0.9487,0.35698,0.18059,0.99976,0.00901,0.00901,0.00901
5,6512.69,0.48008,0.43167,1.09697,0.99846,0.99269,0.99444,0.95928,0.33222,0.16608,0.98223,0.00868,0.00868,0.00868
6,7791.7,0.45553,0.39845,1.08116,0.99788,0.99792,0.99498,0.96535,0.31282,0.16074,0.96692,0.00835,0.00835,0.00835
7,9073.4,0.43528,0.37362,1.06883,0.99759,0.99677,0.99492,0.96547,0.30588,0.15264,0.96156,0.00802,0.00802,0.00802
8,10353.7,0.42083,0.35804,1.05939,0.99889,0.99543,0.99489,0.97012,0.29554,0.13801,0.95308,0.00769,0.00769,0.00769
9,11634.1,0.40816,0.34511,1.0519,0.99933,0.99739,0.99497,0.9714,0.28969,0.1347,0.94937,0.00736,0.00736,0.00736
10,12916,0.39997,0.3323,1.04879,0.99886,0.99917,0.995,0.97068,0.28391,0.12969,0.95139,0.00703,0.00703,0.00703
11,14191.3,0.38821,0.32141,1.04336,0.99788,0.99866,0.99499,0.97159,0.27521,0.12733,0.9466,0.0067,0.0067,0.0067
12,15469,0.37827,0.31123,1.03723,0.99656,0.9989,0.99497,0.97316,0.26846,0.12549,0.94336,0.00637,0.00637,0.00637
13,16751.2,0.37451,0.30648,1.03697,0.99883,0.99721,0.99498,0.97426,0.26476,0.12369,0.94008,0.00604,0.00604,0.00604
14,18058.6,0.3638,0.29901,1.03054,0.9985,0.99821,0.995,0.97497,0.25863,0.11764,0.93973,0.00571,0.00571,0.00571
15,19424.9,0.35343,0.28841,1.02638,0.99898,0.99955,0.995,0.97547,0.25474,0.11686,0.93962,0.00538,0.00538,0.00538
16,20781,0.34744,0.28381,1.02473,0.9988,0.9994,0.995,0.97572,0.25047,0.11544,0.93884,0.00505,0.00505,0.00505
17,22107.5,0.34239,0.2771,1.02309,0.99858,0.99895,0.995,0.97553,0.24825,0.11341,0.93848,0.00472,0.00472,0.00472
18,23422.7,0.33819,0.2724,1.02152,0.99865,0.99955,0.995,0.97522,0.24761,0.11488,0.93842,0.00439,0.00439,0.00439
19,24734.5,0.3306,0.26601,1.0159,0.99879,0.99904,0.995,0.97603,0.24536,0.11344,0.93768,0.00406,0.00406,0.00406
20,26047.1,0.32574,0.25933,1.0154,0.9989,0.99861,0.995,0.97581,0.24448,0.11399,0.93753,0.00373,0.00373,0.00373
21,27382.1,0.33641,0.15146,1.06953,0.99887,0.99831,0.995,0.9761,0.24314,0.11337,0.93744,0.0034,0.0034,0.0034
22,28698.1,0.33094,0.14941,1.06273,0.99849,0.99896,0.995,0.97628,0.24275,0.11277,0.93732,0.00307,0.00307,0.00307
23,30010.9,0.32232,0.14226,1.05425,0.99864,0.99893,0.995,0.97649,0.24186,0.11253,0.93715,0.00274,0.00274,0.00274
24,31325.1,0.31899,0.13976,1.05076,0.99876,0.99893,0.995,0.97682,0.24096,0.11165,0.93703,0.00241,0.00241,0.00241
25,32627,0.31015,0.13574,1.04447,0.99881,0.99896,0.995,0.97656,0.2404,0.1111,0.93694,0.00208,0.00208,0.00208
26,33933.9,0.30113,0.13261,1.03671,0.99845,0.99903,0.995,0.9767,0.23971,0.11051,0.93703,0.00175,0.00175,0.00175
27,35244.8,0.29492,0.12781,1.03092,0.99814,0.99905,0.995,0.97646,0.23889,0.11017,0.93713,0.00142,0.00142,0.00142
28,36557.1,0.28595,0.12297,1.025,0.99793,0.9991,0.995,0.97646,0.23816,0.11005,0.93729,0.00109,0.00109,0.00109
29,37863.5,0.27951,0.12059,1.01888,0.99794,0.99957,0.995,0.97639,0.23731,0.1096,0.93744,0.00076,0.00076,0.00076
30,39167.5,0.27231,0.11778,1.01447,0.9986,0.99682,0.99498,0.97651,0.23659,0.10954,0.93754,0.00043,0.00043,0.00043
