epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1269.01,0.66471,0.9553,1.27508,0.65566,0.77666,0.82917,0.56715,1.50654,1.40458,3.73287,0.00333272,0.00333272,0.00333272
2,2484.64,0.58275,0.53294,1.17907,0.87936,0.8,0.84575,0.59203,1.25426,1.34461,2.88023,0.00653406,0.00653406,0.00653406
3,3689.39,0.57353,0.53306,1.16707,0.81071,0.68716,0.8955,0.43283,1.85843,1.29778,4.68933,0.00960341,0.00960341,0.00960341
4,4881.53,0.53684,0.49619,1.14014,0.60833,1,0.94525,0.71143,1.1397,1.24132,2.72307,0.009406,0.009406,0.009406
5,6085.17,0.48512,0.4364,1.10021,0.67045,0.8,0.8955,0.56715,1.48171,1.25537,3.90103,0.009208,0.009208,0.009208
